Institution,School Name,Main,Classification,Longitude,Latitude,Physical Address,Oral Pills (contraception),Injectables,IUDs  (contraception),Implants (contraception),Female Sterilization (contraception),Male Sterilization (contraception),Male Medical Circumcision (MMC),TB,Maternal Health,Mental Health,Child Health,Oral health services,Rehabilitation Services,Minor Ailments,HIV Testing,HIV Treatment (ART),Oral PrEP,Termination of Pregnancy - 1st Trimester,Termination of Pregnancy - 2nd Trimester,Sexuality Transmitted Infections Screenings
Maluti TVET College,Maluti TVET College - Bonamelo Campus,,Technical and vocational education and training,28.817182,-28.526073,CNR MOHLOMI & MOEKO STREET PHUTHADITJHABA PHUTHADITJHABA 9866,,,,,,,,,,,,,,,,,,,,
Maluti TVET College,Maluti TVET College - Maluti Main Campus,,Technical and vocational education and training,28.8081675,-28.5281977,MALUTI TVET COLLEGE ( MAIN CAMPUS) PRIVATE BAG X807 WITSIESHOEK 9870,,,,,,,,,,,,,,,,,,,,
Motheo TVET College,Motheo TVET College - Bethulie Campus,,Technical and vocational education and training,25.977471,-30.506572,1047 JIM FOUCHE STREET BETHULIE  9992,,,,,,,,,,,,,,,,,,,,
Motheo TVET College,Motheo TVET College - Botshabelo Campus,,Technical and vocational education and training,26.2179499,-29.120025,C/O ST. GEORGE & GREEN STREET BLOEMFONTEIN BLOEMFONTEIN 9301,,,,,,,,,,,,,,,,,,,,
Motheo TVET College,Motheo TVET College - Jacobsdal Secondary Agricultural School,,Technical and vocational education and training,24.797398,-29.133293,PLOT RB36 JACOBSDAL  8710,,,,,,,,,,,,,,,,,,,,
Motheo TVET College,Motheo TVET College - Bloemfontein Campus,,Technical and vocational education and training,26.2179499,-29.120025,C/O ST. GEORGE & CHURCH STREET BLOEMFONTEIN BLOEMFONTEIN 9301,,,,,,,,,,,,,,,,,,,,
Flavius Mareka TVET College,Flavius Mareka TVET College - Kroonstad Campus,,Technical and vocational education and training,27.2451981,-27.659897,BUKES STREET BUKES STREET KROONSTAD 9500,,,,,,,,,,,,,,,,,,,,
Flavius Mareka TVET College,Flavius Mareka TVET College - Sasolburg Campus,,Technical and vocational education and training,27.8401266,-26.8174774,CNR HERTZOG AND FRAZER ST CNR HERTZOG AND FRAZER ST SASOLBURG 1947,,,,,,,,,,,,,,,,,,,,
Goldfields TVET College,Goldfields TVET College - Welkom Campus,,Technical and vocational education and training,26.7348604,-27.9895239,CNR TORONTO and PETRUS BOSCH STREET JAN CILLIERS PARK WELKOM 9459,,,,,,,,,,,,,,,,,,,,
Maluti TVET College,Maluti TVET College - Lere La Tshepe Campus,,Technical and vocational education and training,28.7707821,-28.5917331,TSEKI VILLAGE NEXT TO MAGISTRATE OFFICES POELONG 9874,,,,,,,,,,,,,,,,,,,,
Goldfields TVET College,Goldfields TVET College - Central Office,Yes,Technical and vocational education and training,26.72535,-27.95477,36 Buren Street FLAMINGO PARK Welkom 9459,,,,,,,,,,,,,,,,,,,,
Motheo TVET College,Motheo TVET College - Central Office,Yes,Technical and vocational education and training,26.2179499,-29.120025,C/O ST GEORGES & ALIWAL STREET BLOEMFONTEIN 9301,,,,,,,,,,,,,,,,,,,,
Maluti TVET College,Maluti TVET College - Central Office,Yes,Technical and vocational education and training,28.30772,-28.23849,28 WESSELSSTREET BETHLEHEM BETHLEHEM 9700,,,,,,,,,,,,,,,,,,,,
Flavius Mareka TVET College,Flavius Mareka TVET College - Central Office,Yes,Technical and vocational education and training,27.8401266,-26.8174774,CNR HERTZOG AND FRAZER STR CNR HERTZOG AND FRAZER STR SASOLBURG 1947,,,,,,,,,,,,,,,,,,,,
Maluti TVET College,Maluti TVET College - Kwetlisong Campus,,Technical and vocational education and training,28.81498,-28.543626,RIVER SIDE WITSIESHOEK P/BAG X 837 9870,,,,,,,,,,,,,,,,,,,,
Motheo TVET College,Motheo TVET College - Thaba'nchu Campus,,Technical and vocational education and training,26.8107776,-29.185171,BULTFONTEIN ROAD THABA NCHU THABA NCHU 9780,,,,,,,,,,,,,,,,,,,,
Maluti TVET College,Maluti TVET College - Bethlehem Campus,,Technical and vocational education and training,28.8081891,-28.5276818,28  WESSELS STREET BETHLEHEM BETHLEHEM 9700,,,,,,,,,,,,,,,,,,,,
Maluti TVET College,Maluti TVET College - Harrismith Campus,,Technical and vocational education and training,29.1097796,-28.2619577,EXTENSION 4751 ITABAZWE CORRIDOR HARRISMITH 9880,,,,,,,,,,,,,,,,,,,,
University of Johannesburg,APB Auckland Park Bunting,,University,28.215,-26.1866,,,,,,,,,,,,,,,,,,,,,
University of Johannesburg,APK Auckland Park Kingsway,Yes,University,27.98158,-26.17158,,,,,,,,,,,,,,,,,,,,,
University of Johannesburg,DFC Doornfontein Campus,,University,28.577,-26.189,,,,,,,,,,,,,,,,,,,,,
University of Johannesburg,RAU ISLAND,,University,28.174,-26.8585,,,,,,,,,,,,,,,,,,,,,
University of Johannesburg,SIYABUSWA,,University,29.774,-25.12117,,,,,,,,,,,,,,,,,,,,,
University of Johannesburg,SWC Soweto Campus,,University,27.9273,-26.2597,,,,,,,,,,,,,,,,,,,,,
University of Johannesburg,UNIVERSITY OF JOHANNESBURG,,University,27.98158,-26.17158,,,,,,,,,,,,,,,,,,,,,
University of Pretoria,ANTON VAN WOUW,,University,28.2383,-25.7763,,,,,,,,,,,,,,,,,,,,,
University of Pretoria,CSIR ,,University,28.2784,-25.7537,,,,,,,,,,,,,,,,,,,,,
University of Pretoria,DASPOORT,,University,28.12155,-25.70136,,,,,,,,,,,,,,,,,,,,,
University of Pretoria,EXPERIMENTAL FARM,,University,28.2514,-25.7524,,,,,,,,,,,,,,,,,,,,,
University of Pretoria,GIBS,,University,28.3129,-26.12114,,,,,,,,,,,,,,,,,,,,,
University of Pretoria,GROENKLOOF CAMPUS,,University,28.2094,-25.7728,,,,,,,,,,,,,,,,,,,,,
University of Pretoria,HAMMANSKRAAL CAMPUS,,University,28.25128,-25.4079,,,,,,,,,,,,,,,,,,,,,
University of Pretoria,HATFIELD CAMPUS,,University,28.22142,-25.7558,,,,,,,,,,,,,,,,,,,,,
University of Pretoria,HATFIELD CAMPUS EAST,,University,28.22162,-25.7522,,,,,,,,,,,,,,,,,,,,,
University of Pretoria,HATFIELD CAMPUS SOUTH,Yes,University,28.233,-25.7564,,,,,,,,,,,,,,,,,,,,,
University of Pretoria,HILLCREST RESIDENCES,,University,28.2311,-25.7577,,,,,,,,,,,,,,,,,,,,,
University of Pretoria,HIPPOKRATES ,,University,28.2081,-25.72154,,,,,,,,,,,,,,,,,,,,,
